dataset,detector,feat_A,feat_B,coef,p_value,p_value_fdr,sig
email_spam,ECOD,cls_max,head_entropy,-0.0138,0.0016,0.0154,interference
email_spam,ECOD,cls_max,diag_mean,0.0023,0.6014,0.8111,
email_spam,ECOD,cls_std,head_entropy,-0.0084,0.0656,0.3109,
email_spam,ECOD,cls_std,diag_mean,0.005,0.283,0.6479,
email_spam,ECOD,head_entropy,diag_mean,-0.0044,0.3261,0.6864,
email_spam,IForest,cls_token_pca,cls_mean,0.0355,0.0002,0.0032,synergy
email_spam,IForest,cls_token_pca,cls_max,0.0093,0.3894,0.7194,
email_spam,IForest,cls_token_pca,cls_std,-0.0136,0.2089,0.5686,
email_spam,IForest,cls_token_pca,head_entropy,-0.0329,0.0016,0.0154,interference
email_spam,IForest,cls_token_pca,diag_mean,-0.0248,0.0217,0.1499,
email_spam,IForest,cls_mean,cls_max,0.0151,0.1099,0.4288,
email_spam,IForest,cls_mean,cls_std,0.0099,0.2961,0.65,
email_spam,IForest,cls_mean,head_entropy,0.004,0.6618,0.8493,
email_spam,IForest,cls_mean,diag_mean,0.0144,0.1326,0.465,
email_spam,IForest,cls_max,cls_std,-0.0052,0.6332,0.8254,
email_spam,IForest,cls_max,head_entropy,-0.0128,0.2268,0.5864,
email_spam,IForest,cls_max,diag_mean,0.0001,0.9923,0.9958,
email_spam,IForest,cls_std,head_entropy,-0.017,0.1052,0.4288,
email_spam,IForest,cls_std,diag_mean,-0.003,0.7859,0.901,
email_spam,IForest,head_entropy,diag_mean,-0.0217,0.0379,0.2168,
email_spam,SO-GAAL,cls_token_pca,cls_mean,0.0155,0.4632,0.7469,
email_spam,SO-GAAL,cls_token_pca,cls_max,-0.0038,0.8568,0.9277,
email_spam,SO-GAAL,cls_token_pca,cls_std,0.0047,0.8211,0.9124,
email_spam,SO-GAAL,cls_token_pca,head_entropy,0.0051,0.8099,0.9095,
email_spam,SO-GAAL,cls_token_pca,diag_mean,0.017,0.4154,0.7224,
email_spam,SO-GAAL,cls_mean,cls_max,0.0281,0.1843,0.5395,
email_spam,SO-GAAL,cls_mean,cls_std,0.0251,0.2334,0.5911,
email_spam,SO-GAAL,cls_mean,head_entropy,0.0002,0.9933,0.9958,
email_spam,SO-GAAL,cls_mean,diag_mean,0.0199,0.3462,0.7012,
email_spam,SO-GAAL,cls_max,cls_std,0.0199,0.3428,0.7012,
email_spam,SO-GAAL,cls_max,head_entropy,-0.0154,0.4687,0.7469,
email_spam,SO-GAAL,cls_max,diag_mean,0.0154,0.4624,0.7469,
email_spam,SO-GAAL,cls_std,head_entropy,0.0036,0.8651,0.9277,
email_spam,SO-GAAL,cls_std,diag_mean,0.0174,0.4044,0.7194,
email_spam,SO-GAAL,head_entropy,diag_mean,-0.0017,0.9342,0.9664,
email_spam,AE,cls_token_pca,cls_mean,0.0307,0.0407,0.2289,
email_spam,AE,cls_token_pca,cls_max,0.0238,0.2116,0.5686,
email_spam,AE,cls_token_pca,cls_std,-0.0145,0.4444,0.7373,
email_spam,AE,cls_token_pca,head_entropy,-0.057,0.0024,0.0221,interference
email_spam,AE,cls_token_pca,diag_mean,-0.0305,0.1086,0.4288,
email_spam,AE,cls_mean,cls_max,0.0074,0.6229,0.8154,
email_spam,AE,cls_mean,cls_std,0.0043,0.7727,0.8908,
email_spam,AE,cls_mean,head_entropy,0.0031,0.8335,0.92,
email_spam,AE,cls_mean,diag_mean,0.0097,0.5157,0.7823,
email_spam,AE,cls_max,cls_std,-0.0185,0.3348,0.69,
email_spam,AE,cls_max,head_entropy,-0.0331,0.0789,0.3591,
email_spam,AE,cls_max,diag_mean,-0.0131,0.4935,0.771,
email_spam,AE,cls_std,head_entropy,-0.0351,0.0615,0.3035,
email_spam,AE,cls_std,diag_mean,-0.017,0.3736,0.7078,
email_spam,AE,head_entropy,diag_mean,-0.0336,0.0728,0.3362,
email_spam,VAE,cls_token_pca,cls_mean,0.0232,0.0352,0.2075,
email_spam,VAE,cls_token_pca,cls_max,0.0123,0.3868,0.7194,
email_spam,VAE,cls_token_pca,cls_std,-0.0122,0.3922,0.7194,
email_spam,VAE,cls_token_pca,head_entropy,-0.0311,0.0277,0.1782,
email_spam,VAE,cls_token_pca,diag_mean,-0.0344,0.015,0.1079,
email_spam,VAE,cls_mean,cls_max,0.0107,0.3298,0.6892,
email_spam,VAE,cls_mean,cls_std,0.0144,0.193,0.555,
email_spam,VAE,cls_mean,head_entropy,0.0053,0.6225,0.8154,
email_spam,VAE,cls_mean,diag_mean,0.0073,0.5016,0.7726,
email_spam,VAE,cls_max,cls_std,-0.0142,0.32,0.6817,
email_spam,VAE,cls_max,head_entropy,-0.0193,0.1702,0.5303,
email_spam,VAE,cls_max,diag_mean,-0.0133,0.3481,0.7012,
email_spam,VAE,cls_std,head_entropy,-0.0215,0.1266,0.4556,
email_spam,VAE,cls_std,diag_mean,-0.0137,0.3312,0.6892,
email_spam,VAE,head_entropy,diag_mean,-0.0217,0.1191,0.4374,
email_spam,LUNAR,cls_token_pca,cls_mean,0.0129,0.3921,0.7194,
email_spam,LUNAR,cls_token_pca,cls_max,0.0311,0.1089,0.4288,
email_spam,LUNAR,cls_token_pca,cls_std,0.0039,0.841,0.92,
email_spam,LUNAR,cls_token_pca,head_entropy,-0.0778,0.0,0.0008,interference
email_spam,LUNAR,cls_token_pca,diag_mean,-0.0311,0.1084,0.4288,
email_spam,LUNAR,cls_mean,cls_max,0.0117,0.442,0.7373,
email_spam,LUNAR,cls_mean,cls_std,0.0119,0.4326,0.7338,
email_spam,LUNAR,cls_mean,head_entropy,0.0092,0.5379,0.7833,
email_spam,LUNAR,cls_mean,diag_mean,0.0095,0.5335,0.7833,
email_spam,LUNAR,cls_max,cls_std,-0.0126,0.5204,0.7823,
email_spam,LUNAR,cls_max,head_entropy,-0.0205,0.2876,0.6479,
email_spam,LUNAR,cls_max,diag_mean,-0.0085,0.6615,0.8493,
email_spam,LUNAR,cls_std,head_entropy,-0.0266,0.1688,0.5303,
email_spam,LUNAR,cls_std,diag_mean,-0.0131,0.5022,0.7726,
email_spam,LUNAR,head_entropy,diag_mean,-0.0377,0.0486,0.2612,
bbc,LOF,cls_token_pca,cls_mean,0.0058,0.7603,0.8898,
bbc,LOF,cls_token_pca,cls_max,-0.014,0.555,0.7856,
bbc,LOF,cls_token_pca,cls_std,0.0268,0.2597,0.6212,
bbc,LOF,cls_token_pca,head_entropy,-0.0439,0.0528,0.2795,
bbc,LOF,cls_token_pca,diag_mean,-0.0837,0.0004,0.0053,interference
bbc,LOF,cls_mean,cls_max,0.0175,0.3579,0.7012,
bbc,LOF,cls_mean,cls_std,0.0148,0.4362,0.7338,
bbc,LOF,cls_mean,head_entropy,0.0067,0.7061,0.8707,
bbc,LOF,cls_mean,diag_mean,0.0262,0.1721,0.5303,
bbc,LOF,cls_max,cls_std,0.0174,0.4642,0.7469,
bbc,LOF,cls_max,head_entropy,-0.0238,0.2944,0.65,
bbc,LOF,cls_max,diag_mean,-0.0235,0.3246,0.6864,
bbc,LOF,cls_std,head_entropy,-0.0281,0.219,0.5765,
